Date,Invoice Number,Sales Rep,Location,Status,Client Name,Client ID,Lead Source,Product ID,Product Name,Unit Price,Quantity,Gross Value,Discount,Revenue,VAT Rate,VAT Charged,Invoice Total,COGS per Unit,COGS,Shipping per Unit,Total Shipping,VAT on Shipping,VAT on Shipping Value,Profit,Profit Margin,Operating Profit,Operating Profit Margin,Margin Difference
01/01/2025,562,Lisa,Nottingham,Pending,Galactic Enterprises,C003,SEO,P008,Cable Management Tray,£20.00,5,£100.00,10%,£90.00,20%,£18.00,£108.00,£12.00,£60.00,£6.00,£30.00,20%,£6.00,£30.00,33.30%, £-   ,0.00%,33.30%
01/01/2025,667,Dave,Leeds,Pending,Mars Enterprises,C025,SEO,P008,Cable Management Tray,£20.00,13,£260.00,8%,£239.20,20%,£47.84,£287.04,£12.00,£156.00,£6.00,£78.00,20%,£15.60,£83.20,34.80%,£5.20,2.20%,32.60%
01/01/2025,685,Sarah,Sheffield,Shipping,Celestial Industries,C013,SEO,P006,Monitor Stand,£40.00,8,£320.00,5%,£304.00,20%,£60.80,£364.80,£24.00,£192.00,£7.00,£56.00,20%,£11.20,£112.00,36.80%,£56.00,18.40%,18.40%
01/02/2025,221,Lisa,Leeds,Pending,Comet Corporation,C016,Referral,P010,Standing Desk,£530.00,8,"£4,240.00",10%,"£3,816.00",20%,£763.20,"£4,579.20",£360.00,"£2,880.00",£60.00,£480.00,20%,£96.00,£936.00,24.50%,£456.00,11.90%,12.60%
01/03/2025,634,Dave,Manchester,Paid,Venus Ventures,C024,Social Media Outreach,P003,Network Switch,£130.00,16,"£2,080.00",5%,"£1,976.00",20%,£395.20,"£2,371.20",£72.00,"£1,152.00",£8.00,£128.00,20%,£25.60,£824.00,41.70%,£696.00,35.20%,6.50%
01/03/2025,721,Dave,Newcastle,Shipping,AstroTech,C017,SEO,P004,Data Storage Device,£70.00,5,£350.00,5%,£332.50,20%,£66.50,£399.00,£30.00,£150.00,£8.00,£40.00,20%,£8.00,£182.50,54.90%,£142.50,42.90%,12.00%
01/03/2025,752,Lucas,Bristol,Paid,Galactic Enterprises,C003,Content Outreach,P003,Network Switch,£130.00,10,"£1,300.00",5%,"£1,235.00",20%,£247.00,"£1,482.00",£72.00,£720.00,£8.00,£80.00,20%,£16.00,£515.00,41.70%,£435.00,35.20%,6.50%
01/03/2025,885,Sarah,Manchester,Shipping,Acme Corporation,C001,Content Outreach,P007,Keyboard Tray,£25.00,3,£75.00,7%,£69.75,20%,£13.95,£83.70,£14.00,£42.00,£7.00,£21.00,20%,£4.20,£27.75,39.80%,£6.75,9.70%,30.10%
01/04/2025,165,Jack,Liverpool,Shipping,Orion Enterprises,C015,SEO,P006,Monitor Stand,£40.00,6,£240.00,3%,£232.80,20%,£46.56,£279.36,£24.00,£144.00,£7.00,£42.00,20%,£8.40,£88.80,38.10%,£46.80,20.10%,18.00%
01/04/2025,219,Alexandra,Sheffield,Shipping,Planetary Partners,C021,SEO,P006,Monitor Stand,£40.00,2,£80.00,3%,£77.60,20%,£15.52,£93.12,£24.00,£48.00,£7.00,£14.00,20%,£2.80,£29.60,38.10%,£15.60,20.10%,18.00%
01/04/2025,599,Dave,Manchester,Shipping,Comet Corporation,C016,SEO,P003,Network Switch,£130.00,16,"£2,080.00",3%,"£2,017.60",20%,£403.52,"£2,421.12",£72.00,"£1,152.00",£8.00,£128.00,20%,£25.60,£865.60,42.90%,£737.60,36.60%,6.30%
01/04/2025,682,Alexandra,London,Paid,Orion Enterprises,C015,SEO,P001,Laptop,£220.00,15,"£3,300.00",7%,"£3,069.00",20%,£613.80,"£3,682.80",£140.00,"£2,100.00",£15.00,£225.00,20%,£45.00,£969.00,31.60%,£744.00,24.20%,7.40%
01/04/2025,815,Jack,London,Pending,Mars Enterprises,C025,Website,P002,Server Key,£150.00,5,£750.00,3%,£727.50,20%,£145.50,£873.00,£80.00,£400.00, £-   , £-   ,0%, £-   ,£327.50,45.00%,£327.50,45.00%,0.00%
01/04/2025,995,Daniel,Birmingham,Pending,Comet Corporation,C016,Referral,P010,Standing Desk,£530.00,9,"£4,770.00",5%,"£4,531.50",20%,£906.30,"£5,437.80",£360.00,"£3,240.00",£60.00,£540.00,20%,£108.00,"£1,291.50",28.50%,£751.50,16.60%,11.90%
01/05/2025,255,Jack,Leeds,Shipping,Mercury Industries,C023,SEO,P005,Software License,£200.00,14,"£2,800.00",10%,"£2,520.00",20%,£504.00,"£3,024.00",£110.00,"£1,540.00", £-   , £-   ,0%, £-   ,£980.00,38.90%,£980.00,38.90%,0.00%
01/05/2025,305,Alexandra,Manchester,Shipping,Nova Innovations,C018,Content Outreach,P006,Monitor Stand,£40.00,3,£120.00,4%,£115.20,20%,£23.04,£138.24,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£43.20,37.50%,£22.20,19.30%,18.20%
01/07/2025,330,Dave,Birmingham,Pending,Planetary Partners,C021,SEO,P004,Data Storage Device,£70.00,7,£490.00,5%,£465.50,20%,£93.10,£558.60,£30.00,£210.00,£8.00,£56.00,20%,£11.20,£255.50,54.90%,£199.50,42.90%,12.00%
01/07/2025,610,Dave,Nottingham,Paid,Infinity Innovations,C009,Referral,P006,Monitor Stand,£40.00,3,£120.00,5%,£114.00,20%,£22.80,£136.80,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£42.00,36.80%,£21.00,18.40%,18.40%
01/07/2025,925,Jack,Sheffield,Shipping,Mars Enterprises,C025,SEO,P006,Monitor Stand,£40.00,17,£680.00,4%,£652.80,20%,£130.56,£783.36,£24.00,£408.00,£7.00,£119.00,20%,£23.80,£244.80,37.50%,£125.80,19.30%,18.20%
01/07/2025,956,Alexandra,Sheffield,Paid,Supernova Solutions,C014,Social Media Outreach,P006,Monitor Stand,£40.00,16,£640.00,4%,£614.40,20%,£122.88,£737.28,£24.00,£384.00,£7.00,£112.00,20%,£22.40,£230.40,37.50%,£118.40,19.30%,18.20%
01/08/2025,477,Lisa,Birmingham,Paid,Venus Ventures,C024,Social Media Outreach,P010,Standing Desk,£530.00,7,"£3,710.00",1%,"£3,672.90",20%,£734.58,"£4,407.48",£360.00,"£2,520.00",£60.00,£420.00,20%,£84.00,"£1,152.90",31.40%,£732.90,20.00%,11.40%
01/09/2025,497,Dave,London,Paid,Mercury Industries,C023,SEO,P006,Monitor Stand,£40.00,20,£800.00,2%,£784.00,20%,£156.80,£940.80,£24.00,£480.00,£7.00,£140.00,20%,£28.00,£304.00,38.80%,£164.00,20.90%,17.90%
01/10/2025,57,Mark,Leeds,Paid,Cosmic Creations,C008,Referral,P003,Network Switch,£130.00,7,£910.00,4%,£873.60,20%,£174.72,"£1,048.32",£72.00,£504.00,£8.00,£56.00,20%,£11.20,£369.60,42.30%,£313.60,35.90%,6.40%
01/10/2025,89,Daniel,Leeds,Paid,Celestial Industries,C013,Referral,P007,Keyboard Tray,£25.00,10,£250.00,3%,£242.50,20%,£48.50,£291.00,£14.00,£140.00,£7.00,£70.00,20%,£14.00,£102.50,42.30%,£32.50,13.40%,28.90%
